namn;parti;uppdrag
Trine Platou;Centerpartiet;Ledamot
Jenny Elander Ek;Centerpartiet;Ledamot
Birgitta Gunnarsson;Centerpartiet;Ledamot
Kerstin Sjöberg;Centerpartiet;Ledamot
Maria Persdotter;Centerpartiet;Ledamot
Julie Tran;Centerpartiet;Ledamot
Ulric Nilsson;Centerpartiet;Ersättare
Magnus Ek;Centerpartiet;Ersättare
Richard Kullberg;Centerpartiet;Ersättare
Joakim Magnusson;Centerpartiet;Ersättare
Pernilla Claar Granqvist;Centerpartiet;Ersättare
Annika Arvidsson Rosén;Centerpartiet;Ersättare
Carola Andersson;Centerpartiet;Ersättare
Roger Sandström;Centerpartiet;Ersättare
Roland Sjödahl;Centerpartiet;Ersättare
Sara Larsson;Centerpartiet;Ersättare
Carl-Ludwig Svenfelt;Centerpartiet;Ersättare
Karin Westberg;Centerpartiet;Ersättare
Madelaine Johansson;Centerpartiet;Ersättare
Jonny Stål;Centerpartiet;Ersättare
Elvira Wibeck;Kristdemokraterna;Förste vice ordförande
Lena Käcker Johansson;Kristdemokraterna;Ledamot
Birre Waern;Kristdemokraterna;Ledamot
Per Olof Larsson;Kristdemokraterna;Ledamot
Kristin Andersson;Kristdemokraterna;Ledamot
Anders Eksmo;Kristdemokraterna;Ledamot
Annicki Oscarsson;Kristdemokraterna;Ledamot
Martin Zetterlund;Kristdemokraterna;Ledamot
Marie Clarén;Kristdemokraterna;Ersättare
Magnus Sjöberg;Kristdemokraterna;Ersättare
Solveig Danielsson;Kristdemokraterna;Ersättare
Linda Masman;Kristdemokraterna;Ersättare
Simon Posluk;Kristdemokraterna;Ersättare
Jenny Lisiderius;Kristdemokraterna;Ersättare
Annelie Elizabeth Noort;Kristdemokraterna;Ersättare
Inga-Lill Johansson;Kristdemokraterna;Ersättare
Eva-Britt Sjöberg;Kristdemokraterna;Ersättare
Marie Johansson;Kristdemokraterna;Ersättare
Evelina Johanna Nilsson;Kristdemokraterna;Ersättare
Nils-Ingvar Graan;Kristdemokraterna;Ersättare
Patrik Stenlund;Kristdemokraterna;Ersättare
Martin Holmbom;Kristdemokraterna;Ersättare
Fredrik Topplund;Kristdemokraterna;Ersättare
Torbjörn Nibelius;Kristdemokraterna;Ersättare
Nils Babtist;Liberalerna;Ordförande
Gun-Inger Andersson;Liberalerna;Ledamot
Margareta Fallsvik;Liberalerna;Ledamot
Alexander Höglund;Liberalerna;Ledamot
Monika Broman;Liberalerna;Ledamot
Martin Klerung;Liberalerna;Ersättare
Barbro Lindström;Liberalerna;Ersättare
Jakob Krabbe;Liberalerna;Ersättare
Anders Selbing;Liberalerna;Ersättare
Magnus Oweling;Liberalerna;Ersättare
Lena Skaring Thorsén;Liberalerna;Ersättare
Anna Blomqvist Drake af Hagelsrum;Liberalerna;Ersättare
Eva Asmar;Liberalerna;Ersättare
Maria Larsson;Liberalerna;Ersättare
Ann-Christin Kobusinski Ehn;Liberalerna;Ersättare
Mats Lowén;Liberalerna;Ersättare
Jonas Hugo Nordén;Liberalerna;Ersättare
Andreas Westöö;Liberalerna;Adjungerad
Andreea Bernicu;Moderaterna;Ledamot
Bert Egnell;Moderaterna;Ledamot
Tommy Ählström;Moderaterna;Ledamot
Eva Hermansson;Moderaterna;Ledamot
Helen Albrektsson;Moderaterna;Ledamot
Ralf Harry Holmér;Moderaterna;Ledamot
Suada Tolic;Moderaterna;Ledamot
Annette Olsson;Moderaterna;Ledamot
Lars Ahlm;Moderaterna;Ledamot
Anwar Samuelsson;Moderaterna;Ledamot
Anna Marianne Nilsson;Moderaterna;Ledamot
Jan Gunnar Owe-Larsson;Moderaterna;Ledamot
Viola Ingvarsson;Moderaterna;Ledamot
Oscar Strömblad;Moderaterna;Ledamot
Mia Landell;Moderaterna;Ledamot
Tobias Eriksson;Moderaterna;Ledamot
Jörgen Rundgren;Moderaterna;Ledamot
Jacob Cernvall;Moderaterna;Ledamot
Matilda Ekeblad;Moderaterna;Ledamot
Marie Morell;Moderaterna;Ledamot
Fredrik Sjöstrand;Moderaterna;Ledamot
Emil Steen;Moderaterna;Ledamot
Åke Karlsson;Moderaterna;Ersättare
Mats Fahlgren;Moderaterna;Ersättare
Sandra Sannemo Bårman;Moderaterna;Ersättare
Charlize Ertas;Moderaterna;Ersättare
Jan Sundström;Moderaterna;Ersättare
Daniel Noregran;Moderaterna;Ersättare
Daniel Flodin;Moderaterna;Ersättare
Fame Wallin;Moderaterna;Ersättare
Fredrik Björkman;Moderaterna;Ersättare
Agneta Larsson;Moderaterna;Ersättare
Anders Boqvist;Moderaterna;Ersättare
Mikael Wårhem;Moderaterna;Ersättare
Per-Arne Fall;Moderaterna;Ersättare
Helena Persdotter;Moderaterna;Ersättare
Per Ove Reinhold Samuelsson;Moderaterna;Ersättare
Tommy Aarna;Moderaterna;Ersättare
Päivi Johansson;Moderaterna;Ersättare
Eva Cox;Moderaterna;Ersättare
Niclas Bladfält;Moderaterna;Ersättare
Kerstin Eleonora Margareta Nordenberg;Moderaterna;Ersättare
Johan Rutfors;Moderaterna;Ersättare
Lars Nilsson;Moderaterna;Ersättare
William Jonsson;Moderaterna;Ersättare
Ritha Andersson;Moderaterna;Ersättare
Lina Rittne;Moderaterna;Ersättare
Linda Sundregård;Miljöpartiet;Ledamot
Margareta Fransson;Miljöpartiet;Ledamot
Catarina Engström;Miljöpartiet;Ledamot
Hildegard Linné Jarskog;Miljöpartiet;Ersättare
Daniel Egonsson;Miljöpartiet;Ersättare
Margareta Holm;Miljöpartiet;Ersättare
Rebecka Hägg;Socialdemokraterna;Andre vice ordförande
Christina Hasselrot;Socialdemokraterna;Ledamot
Peter Hermansson;Socialdemokraterna;Ledamot
Lena Micko;Socialdemokraterna;Ledamot
Hans Elf;Socialdemokraterna;Ledamot
Linus Emmoth;Socialdemokraterna;Ledamot
Klas Corbelius;Socialdemokraterna;Ledamot
Jörgen Oskarsson;Socialdemokraterna;Ledamot
Torbjörn Holmqvist;Socialdemokraterna;Ledamot
Kaisa Maria Karro;Socialdemokraterna;Ledamot
Camilla Egberth;Socialdemokraterna;Ledamot
Nicklas Andersson;Socialdemokraterna;Ledamot
Fia Storkull;Socialdemokraterna;Ledamot
Eva Pedersen;Socialdemokraterna;Ledamot
Jessika Lindström;Socialdemokraterna;Ledamot
Anna Johansson;Socialdemokraterna;Ledamot
David Ergül;Socialdemokraterna;Ledamot
Alexander Fröderberg;Socialdemokraterna;Ledamot
Martin Tollén;Socialdemokraterna;Ledamot
Britt Olauson;Socialdemokraterna;Ledamot
Eva Edgren Vikmång;Socialdemokraterna;Ledamot
