namn;parti;uppdrag
Anna Sotkasiira Wik;M;Ordförande
Eva-Britt Sjöberg;KD;1:e vice ordförande
Irma Görtz;S;2:e vice ordförande
Sophia Jarl;M;Kommunalråd
Simon Johansson;M;Kommunalråd
Hannes Sten;M;Ledamot
Ingrid Cassel;M;Ledamot
Juris Irschs;M;Ledamot
Roger Eklund-Åkesson;M;Ledamot
Olle Connman Ek;M;Ledamot
Said Nison;M;Ledamot
Kerstin Nordenberg;M;Ledamot
Christer Frey;M;Ledamot
Patrik Palm;M;Ledamot
Päivi Johansson;M;Ledamot
Per Helgesson;M;Ledamot
Filip Morell;M;Ledamot
Conny Passmark;M;Ledamot
Carina Melefors;M;Ledamot
Anders Magnusson;M;Ledamot
Ned Wallin;M;Ledamot
Åke Bjerselius;M;Ledamot
Anders Boqvist;M;Ledamot
Lena Hernqvist;M;Ledamot
Christian Widlund;C;Ledamot
Roger Sandström;C;Ledamot
Kay Andersson;C;Ledamot
Anna Edebo;C;Ledamot
Reidar Svedahl;-;Ledamot
Alexander Nejdemo;L;Ledamot
Monica Holtstad;L;Ledamot
Fredrik Bergqvist;L;Ledamot
Tomas Tekmen;KD;Ledamot
Jenny Lisiderius;KD;Ledamot
Niclas Clarén;KD;Ledamot
Ulla Lundström;KD;Ledamot
Olle Vikmång;S;Ledamot
Maria Sayeler Behnam;S;Ledamot
Andreas Bohlin;S;Ledamot
Annette Sjöö;S;Ledamot
Magnus Cato;S;Ledamot
Marie-Louise Jonander;S;Ledamot
Classe Nöid;S;Ledamot
Per Ziljat;S;Ledamot
Åsa Sköldestig;S;Ledamot
Maj Kalwa;S;Ledamot
Kikki Liljeblad;S;Ledamot
Sara Stolt;S;Ledamot
Jessica Svensson;S;Ledamot
Alexander Winge;S;Ledamot
Louise Malmström;S;Ledamot
Håkan Pettersson;S;Ledamot
Inger Petersson;S;Ledamot
Mats Nilsson;S;Ledamot
Lena Wass;S;Ledamot
Lena Lundman;S;Ledamot
Jörgen Drott;S;Ledamot
Willy Flores Carreno;S;Ledamot
Ann-Christine Nordqvist;S;Ledamot
Henrik Pryssgård;S;Ledamot
Nicklas Lundström;V;Ledamot
Heléne Alpfjord Wylde;V;Ledamot
Annika Kaiser;V;Ledamot
Tobias Holmberg;V;Ledamot
Mia Matsson;V;Ledamot
Marcus Posada;V;Ledamot
Elin Melander;V;Ledamot
Karolina Eriksson;V;Ledamot
Hedda Ottesen;MP;Ledamot
Robert Nordman;MP;Ledamot
Ingemar Hillerström;MP;Ledamot
Christopher Jarnvall;SD;Ledamot
Clara Aranda;SD;Ledamot
Benny Sellborn;SD;Ledamot
Florian Aranda;SD;Ledamot
Annelie Johansson;SD;Ledamot
Stefan Bergström;SD;Ledamot
Erik Johansson;SD;Ledamot
Jonny Modigh;SD;Ledamot
Gunilla Hellberg;SD;Ledamot
Peter Pöllä;SD;Ledamot
Thomas Svensson;SD;Ledamot
Daniella Mårtensson;SD;Ledamot
Linda Nilsson;SD;Ledamot
Wasuthida Pinsakulnee;SD;Ledamot
Lottie Carlzon;SD;Ledamot
Eva-Britt Passmark;M;Ersättare
Marcus Fägerstrand;M;Ersättare
Christina Blomqvist;M;Ersättare
Jeanette Södervall Thorn;M;Ersättare
Fredrik Björkman;M;Ersättare
Björn Sandberg;M;Ersättare
Patrik Wik;M;Ersättare
Lina Alm;M;Ersättare
Bo-Göran Svensson;M;Ersättare
Kerstin Sjöberg;C;Ersättare
Erik Lambot;C;Ersättare
Evelina Nejdemo Glad;L;Ersättare
Ann-Christin Kobusinski Ehn;L;Ersättare
Claes Nilsson;KD;Ersättare
Anna Bäck;KD;Ersättare
Jan Rosman;KD;Ledamot
Tobias Sved;S;Ersättare
Pernilla Axell;S;Ersättare
Patrick Lindahl;S;Ersättare
Paola Valdes Salas;S;Ersättare
Tim Björklund;S;Ersättare
Anna-Lena Pettersson;S;Ersättare
Christoffer Hagström;S;Ersättare
Ann-Charlotte Wiberg;S;Ersättare
Lizette Wästerlund;S;Ersättare
Inger Hasselgren;S;Ersättare
Magnus Edström;S;Ersättare
Matilda Johansson;S;Ersättare
Hans Lundin;S;Ersättare
Ann Björling;V;Ersättare
Julia Linander;V;Ersättare
Maria Bergqvist;V;Ersättare
Anna Petersson;V;Ersättare
Christel Andersson;MP;Ersättare
Jan Thilander;MP;Ersättare
Göran Persson;SD;Ersättare
Susanna Lindvall;SD;Ersättare
Kiran Qureshi;SD;Ersättare
Tomas Forsberg;SD;Ersättare
Jessie Johansson;SD;Ersättare
Magnus Boström;SD;Ersättare
Isak Löfstedt;SD;Ersättare
