index;lank;datum;typ;;;
1;https://play.norrkoping.se/media/qt7GEjB1V4JlcWb4yFliTA/Kommunfullm%C3%A4ktige%2029%20september%202025;2025-09-29;Quickchannel;;;
2;https://play.norrkoping.se/media/YpjG7HuLDtPtm5h4LiPCZQ/Kommunfullm%C3%A4ktige%2025%20augusti%202025;2025-08-20;Quickchannel;;;
3;https://play.norrkoping.se/media/m4toYHP7p-HdzP0vFVF8RQ/Kommunfullm%C3%A4ktige%2016%20juni%202025;2025-06-16;Quickchannel;;;
4;https://play.norrkoping.se/media/atIlGKQmrrC9LwQZGlqL-A/Kommunfullm%C3%A4ktige%2026%20maj%202025;2025-05-26;Quickchannel;;;
5;https://play.norrkoping.se/media/PYtgwJyitayHo82NMdKviA/Kommunfullm%C3%A4ktiges%20sammantr%C3%A4de%2028%20april%202025;2025-04-28;Quickchannel;;;
6;https://play.norrkoping.se/media/aetn9-ildAuoW2OdjMar3A/Kommunfullm%C3%A4ktige%2031%20mars%202025;2025-03-31;Quickchannel;;;
7;https://play.norrkoping.se/media/LkC7LRs0grGJMWw13J2ecA/Kommunfullm%C3%A4ktige%2024%20februari%202025;2025-02-24;Quickchannel;;;
8;https://play.norrkoping.se/media/QwGuaQgfFSbkMnDCmDeRRw/Kommunfullm%C3%A4ktige%2027%20januari%202025;2025-01-27;Quickchannel;;;
9;https://play.norrkoping.se/media/vNap4h47po865Ql_ipdVOA/Kommunfullm%C3%A4ktige%2016%20december%202024%20del%202;2024-12-16(2);Quickchannel;;;
10;https://play.norrkoping.se/media/rWZYNfxzhq-GvNraP8v1zQ/Kommunfullm%C3%A4ktige%2016%20december%202024;2024-12-16(1);Quickchannel;;;
11;https://play.norrkoping.se/media/zp0aBY0jME3idx-R0FBMpQ/Kommunfullm%C3%A4ktige%2025%20november%202024;2024-11-25;Quickchannel;;;
12;https://play.norrkoping.se/media/u1hrstUqRiqQj55FvogLcg/Kommunfullm%C3%A4ktige%2028%20oktober%202024;2024-10-28;Quickchannel;;;
13;https://play.norrkoping.se/media/lHbnCLRj_EFMuAATap11FQ/Kommunfullm%C3%A4ktige%2030%20september%202024;2024-09-30;Quickchannel;;;
14;https://play.norrkoping.se/media/ppGugJdaEAybwrhtMxmJ9Q/Kommunfullm%C3%A4ktiges%20extra%20sammantr%C3%A4de%204%20september%202024;2024-09-04;Quickchannel;;;
15;https://play.norrkoping.se/media/m7mtJuMUboRbWmWTgmRELA/Kommunfullm%C3%A4ktige%2026%20augusti%202024;2024-08-26;Quickchannel;;;
16;https://play.norrkoping.se/media/t3UR4eNMlxMppN2tlEKgFA/Kommunfullm%C3%A4ktige%2017%20juni%202024;2024-06-17;Quickchannel;;;
17;https://play.norrkoping.se/media/4TH1uwGYPseDaUwWT5jEXg/Kommunfullm%C3%A4ktige%2027%20maj%202024;2024-05-27;Quickchannel;;;
18;https://play.norrkoping.se/media/0iOSzPo83UG_BesNN4LdGg/%20Kommunfullm%C3%A4ktige%2029%20april%202024;2024-04-29;Quickchannel;;;
19;https://play.norrkoping.se/media/Fh5ZOB_qN2ZiJEK-ScXJjQ/Kommunfullm%C3%A4ktige%2025%20mars%202024;2024-03-25;Quickchannel;;;
20;https://play.norrkoping.se/media/L4EyKue6m7z0-izn1elsBQ/Kommunfullm%C3%A4ktige%2026%20februari%202024;2024-02-26;Quickchannel;;;
21;https://play.norrkoping.se/media/A6iXTHxTTCQSxKLJflyDrA/Kommunfullm%C3%A4ktige%2029%20januari%202024;2024-01-29;Quickchannel;;;
22;;;Quickchannel;;;
23;;;Quickchannel;;;
24;;;Quickchannel;;;
25;;;Quickchannel;;;
26;;;Quickchannel;;;
27;;;Quickchannel;;;
28;;;Quickchannel;;;
29;;;Quickchannel;;;
30;;;Quickchannel;;;
31;;;Quickchannel;;;
32;;;Quickchannel;;;
33;;;Quickchannel;;;
34;;;Quickchannel;;;
35;;;Quickchannel;;;
36;;;Quickchannel;;;
37;;;Quickchannel;;;
38;;;Quickchannel;;;
39;;;Quickchannel;;;
40;;;Quickchannel;;;
41;;;Quickchannel;;;
42;;;Quickchannel;;;
43;;;Quickchannel;;;
44;;;Quickchannel;;;
45;;;Quickchannel;;;
46;;;Quickchannel;;;
47;;;Quickchannel;;;
48;;;Quickchannel;;;
49;;;Quickchannel;;;
50;;;Quickchannel;;;
